dataset,attack,agg,mal_frac,n_mal,threshold,threshold_frac,final_acc
synthetic_clustered,signflip,sss,0.0,0,5,0.25,0.582857
synthetic_clustered,signflip,sss_robust,0.0,0,5,0.25,0.000000
synthetic_clustered,signflip,fedavg,0.0,0,5,0.25,0.648571
synthetic_clustered,signflip,krum,0.0,0,5,0.25,0.642857
synthetic_clustered,signflip,multi_krum,0.0,0,5,0.25,0.650000
synthetic_clustered,signflip,trimmed_mean,0.0,0,5,0.25,0.654286
synthetic_clustered,signflip,sss,0.05,1,5,0.25,0.000000
synthetic_clustered,signflip,sss_robust,0.05,1,5,0.25,0.000000
synthetic_clustered,signflip,fedavg,0.05,1,5,0.25,0.648571
synthetic_clustered,signflip,krum,0.05,1,5,0.25,0.642857
synthetic_clustered,signflip,multi_krum,0.05,1,5,0.25,0.651429
synthetic_clustered,signflip,trimmed_mean,0.05,1,5,0.25,0.654286
synthetic_clustered,signflip,sss,0.1,2,5,0.25,0.000000
synthetic_clustered,signflip,sss_robust,0.1,2,5,0.25,0.000000
synthetic_clustered,signflip,fedavg,0.1,2,5,0.25,0.550000
synthetic_clustered,signflip,krum,0.1,2,5,0.25,0.637143
synthetic_clustered,signflip,multi_krum,0.1,2,5,0.25,0.647143
synthetic_clustered,signflip,trimmed_mean,0.1,2,5,0.25,0.597143
synthetic_clustered,signflip,sss,0.15,3,5,0.25,0.000000
synthetic_clustered,signflip,sss_robust,0.15,3,5,0.25,0.000000
synthetic_clustered,signflip,fedavg,0.15,3,5,0.25,0.550000
synthetic_clustered,signflip,krum,0.15,3,5,0.25,0.637143
synthetic_clustered,signflip,multi_krum,0.15,3,5,0.25,0.648571
synthetic_clustered,signflip,trimmed_mean,0.15,3,5,0.25,0.597143
synthetic_clustered,signflip,sss,0.2,4,5,0.25,0.000000
synthetic_clustered,signflip,sss_robust,0.2,4,5,0.25,0.000000
synthetic_clustered,signflip,fedavg,0.2,4,5,0.25,0.520000
synthetic_clustered,signflip,krum,0.2,4,5,0.25,0.632857
synthetic_clustered,signflip,multi_krum,0.2,4,5,0.25,0.644286
synthetic_clustered,signflip,trimmed_mean,0.2,4,5,0.25,0.540000
synthetic_clustered,signflip,sss,0.25,5,5,0.25,0.000000
synthetic_clustered,signflip,sss_robust,0.25,5,5,0.25,0.000000
synthetic_clustered,signflip,fedavg,0.25,5,5,0.25,0.490000
synthetic_clustered,signflip,krum,0.25,5,5,0.25,0.641429
synthetic_clustered,signflip,multi_krum,0.25,5,5,0.25,0.644286
synthetic_clustered,signflip,trimmed_mean,0.25,5,5,0.25,0.497143
synthetic_clustered,signflip,sss,0.3,6,5,0.25,0.000000
synthetic_clustered,signflip,sss_robust,0.3,6,5,0.25,0.000000
synthetic_clustered,signflip,fedavg,0.3,6,5,0.25,0.452857
synthetic_clustered,signflip,krum,0.3,6,5,0.25,0.645714
synthetic_clustered,signflip,multi_krum,0.3,6,5,0.25,0.641429
synthetic_clustered,signflip,trimmed_mean,0.3,6,5,0.25,0.431429
synthetic_clustered,signflip,sss,0.35,7,5,0.25,0.000000
synthetic_clustered,signflip,sss_robust,0.35,7,5,0.25,0.000000
synthetic_clustered,signflip,fedavg,0.35,7,5,0.25,0.452857
synthetic_clustered,signflip,krum,0.35,7,5,0.25,0.641429
synthetic_clustered,signflip,multi_krum,0.35,7,5,0.25,0.650000
synthetic_clustered,signflip,trimmed_mean,0.35,7,5,0.25,0.435714
synthetic_clustered,signflip,sss,0.4,8,5,0.25,0.000000
synthetic_clustered,signflip,sss_robust,0.4,8,5,0.25,0.000000
synthetic_clustered,signflip,fedavg,0.4,8,5,0.25,0.398571
synthetic_clustered,signflip,krum,0.4,8,5,0.25,0.645714
synthetic_clustered,signflip,multi_krum,0.4,8,5,0.25,0.625714
synthetic_clustered,signflip,trimmed_mean,0.4,8,5,0.25,0.377143
synthetic_clustered,signflip,sss,0.45,9,5,0.25,0.000000
synthetic_clustered,signflip,sss_robust,0.45,9,5,0.25,0.000000
synthetic_clustered,signflip,fedavg,0.45,9,5,0.25,0.384286
synthetic_clustered,signflip,krum,0.45,9,5,0.25,0.618571
synthetic_clustered,signflip,multi_krum,0.45,9,5,0.25,0.617143
synthetic_clustered,signflip,trimmed_mean,0.45,9,5,0.25,0.355714
synthetic_clustered,signflip,sss,0.5,10,5,0.25,0.000000
synthetic_clustered,signflip,sss_robust,0.5,10,5,0.25,0.000000
synthetic_clustered,signflip,fedavg,0.5,10,5,0.25,0.371429
synthetic_clustered,signflip,krum,0.5,10,5,0.25,0.621429
synthetic_clustered,signflip,multi_krum,0.5,10,5,0.25,0.621429
synthetic_clustered,signflip,trimmed_mean,0.5,10,5,0.25,0.352857
synthetic_clustered,signflip,sss,0.55,11,5,0.25,0.000000
synthetic_clustered,signflip,sss_robust,0.55,11,5,0.25,0.000000
synthetic_clustered,signflip,fedavg,0.55,11,5,0.25,0.371429
synthetic_clustered,signflip,krum,0.55,11,5,0.25,0.621429
synthetic_clustered,signflip,multi_krum,0.55,11,5,0.25,0.621429
synthetic_clustered,signflip,trimmed_mean,0.55,11,5,0.25,0.352857
synthetic_clustered,signflip,sss,0.6,12,5,0.25,0.000000
synthetic_clustered,signflip,sss_robust,0.6,12,5,0.25,0.000000
synthetic_clustered,signflip,fedavg,0.6,12,5,0.25,0.332857
synthetic_clustered,signflip,krum,0.6,12,5,0.25,0.620000
synthetic_clustered,signflip,multi_krum,0.6,12,5,0.25,0.620000
synthetic_clustered,signflip,trimmed_mean,0.6,12,5,0.25,0.351429
